latitude,longitude,acq_date,satellite,confidence,frp,daynight,sensor,provinsi,frp_band,acq_datetime
2.25117,117.85555,2026-08-19,N,high,11.27,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.26332,117.93058,2026-08-19,N,high,6.62,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.13551,117.1771,2026-08-19,N,nominal,2.79,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.24442,117.84692,2026-08-19,N,nominal,22.16,D,viirs,East Kalimantan,Sedang,2026-08-19 05:08:00
2.24493,117.85007,2026-08-19,N,nominal,22.16,D,viirs,East Kalimantan,Sedang,2026-08-19 05:08:00
2.24594,117.85634,2026-08-19,N,nominal,16.57,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.24696,117.86259,2026-08-19,N,nominal,6.09,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.25406,117.90633,2026-08-19,N,nominal,5.11,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.32977,117.94299,2026-08-19,N,nominal,5.25,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.24966,117.84618,2026-08-19,N,high,12.32,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.26702,117.92052,2026-08-19,N,nominal,3.75,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.17182,117.33187,2026-08-19,N,nominal,19.66,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.14306,117.15437,2026-08-19,N,nominal,3.16,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.28412,117.92747,2026-08-19,N,nominal,4.76,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.18151,117.28851,2026-08-19,N,high,5.8,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.27562,117.87447,2026-08-19,N,high,17.35,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.27662,117.88069,2026-08-19,N,high,17.06,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.15116,117.13489,2026-08-19,N,low,5.78,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.16816,117.24028,2026-08-19,N,nominal,6.4,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.17498,117.28253,2026-08-19,N,nominal,4.7,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.17552,117.28593,2026-08-19,N,nominal,4.7,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.17607,117.28934,2026-08-19,N,nominal,12.39,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.17662,117.29272,2026-08-19,N,nominal,12.39,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.27042,117.87531,2026-08-19,N,nominal,5.86,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.16873,117.24379,2026-08-19,N,high,6.4,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.27091,117.87843,2026-08-19,N,high,5.86,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.27894,117.92832,2026-08-19,N,high,5.85,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.27944,117.93144,2026-08-19,N,high,7.06,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.25859,117.83511,2026-08-19,N,low,1.57,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.27323,117.92599,2026-08-19,N,nominal,5.85,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.27474,117.93535,2026-08-19,N,nominal,7.06,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.28466,117.99694,2026-08-19,N,nominal,2.95,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.27373,117.9291,2026-08-19,N,high,5.85,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.27971,117.9662,2026-08-19,N,high,9.08,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.28021,117.96932,2026-08-19,N,high,15.96,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
