acq_datetime;acq_date;latitude;longitude;frp;frp_band;provinsi;provinsi_id;sensor;satellite;confidence;daynight
2026-08-22 05:53:00;2026-08-22;-3,2521;114,8183;5,65;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,2507;114,8183;4,52;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,4979;115,8349;19,1;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,494;115,8379;19;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,4945;115,8344;19;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,8031;116,2452;14,9;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,7998;116,2447;14,9;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,9726;114,6788;2,78;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,9686;114,6821;4,71;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;low;D
2026-08-22 05:53:00;2026-08-22;-3,5774;115,1279;2,82;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,5746;115,1237;3,5;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,5373;115,1857;2,71;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;low;D
2026-08-22 05:53:00;2026-08-22;-3,4386;113,7737;3,83;Rendah;Central Kalimantan;Kalimantan Tengah;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,382;114,7341;10,48;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,2094;115,6895;2,84;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,2035;115,638;2,45;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,315;114,8127;13,22;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;low;D
2026-08-22 05:53:00;2026-08-22;-3,1991;115,4629;2,63;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,2706;114,92;6,7;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;low;D
2026-08-22 05:53:00;2026-08-22;-3,2818;114,8458;10,49;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-4,0464;114,6468;5,67;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-4,0493;114,6512;5,67;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-4,0528;114,6517;9,12;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,8314;116,3065;16,88;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,8171;114,6405;8,22;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,6096;116,3646;4,02;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,2541;114,8189;4,52;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-4,1151;114,6648;23,1;Sedang;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,38;114,8181;12,86;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,9597;116,1946;6,15;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-4,1739;114,658;6,4;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,2672;114,9195;5,02;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;low;D
2026-08-22 05:53:00;2026-08-22;-4,1174;114,7432;7,95;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-4,1139;114,7427;7,24;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-4,1145;114,7389;5,7;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-4,1151;114,7351;5,7;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-4,1081;114,7574;3,86;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
